"state_long","state_short","elec_year","gelec_dem","gelec_rep","gelec_oth","temp_mean","temp_max_max","temp_max_mean","gelec_total","rep_share","dem_share","ln_temp_mean","ln_temp_max_max","ln_temp_max_mean"
"Alabama","AL",2008,752391,1305383,2417,,,,2060191,0.63362231948397,0.365204488321714,,,
"Alaska","AK",2008,151767,147814,18142,7.230769,10,10,317723,0.465229146143024,0.477670801295468,1.97834539289357,2.30258509299405,2.30258509299405
"Arkansas","AR",2008,804678,,207076,60.75,74,74,1011754,,0.7953296947677,4.10676708222066,4.30406509320417,4.30406509320417
"Colorado","CO",2008,1231049,990784,109879,50.4261362727273,79,63.9545454545455,2331712,0.42491697087805,0.527959284851645,3.92050961750265,4.36944785246702,4.15817260375607
"Delaware","DE",2008,257539,140595,,,,,398134,0.353134874188087,0.646865125811913,,,
"Georgia","GA",2008,2667316,3095130,127995,59.7142857142857,75,70.5714285714286,5890441,0.525449622532506,0.452821104565855,4.08957128346944,4.31748811353631,4.25662536813261
"Idaho","ID",2008,219903,371744,53133,39.3534381538462,50,43.4230769230769,644780,0.576543937467043,0.341051211265858,3.67258334471482,3.91202300542815,3.77099102612818
"Illinois","IL",2008,3615844,1520621,193419,60.09374975,74,72.5,5329884,0.285300955893224,0.678409511351467,4.09590583862889,4.30406509320417,4.28358656186063
"Iowa","IA",2008,941665,560006,1247,63.0151515454545,74,72.6363636363636,1502918,0.372612477859737,0.62655780288745,4.14337519819737,4.30406509320417,4.2854656729679
"Kansas","KS",2008,441399,727121,42170,,,,1210690,0.600583964516102,0.364584658335329,,,
"Kentucky","KY",2008,847005,953816,,56.4970237142857,77,73.6428571428571,1800821,0.529656195701849,0.470343804298151,4.03418795914162,4.34380542185368,4.2992271544017
"Louisiana","LA",2008,988298,867177,41099,62.2499996666667,79,78,1896574,0.457233411403932,0.521096461303382,4.13115852999006,4.36944785246702,4.35670882668959
"Maine","ME",2008,279510,444300,620,47,56,53.6666666666667,724430,0.613309774581395,0.385834380133346,3.85014760171006,4.02535169073515,3.98279207631635
"Massachusetts","MA",2008,1971974,926044,97229,51.7788460769231,68,62.7692307692308,2995247,0.309171163513393,0.658367740623728,3.94698168896351,4.21950770517611,4.13946499750257
